problem,C++,C++Link,Java,JavaLink,Python3,Python3Link
"01 Matrix ","","","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/01\%20Matrix.java","",""
"3Sum ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/3Sum.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/3Sum.java","",""
"3Sum Closest ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/3Sum\%20Closest.cpp","","","",""
"3Sum Smaller ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/3Sum\%20Smaller.cpp","","","",""
"4Sum ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/4Sum.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/4Sum.java","",""
"4Sum II ","","","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/4Sum\%20II.java","",""
"Add Binary ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Add\%20Binary.cpp","","","",""
"Add Digits ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Add\%20Digits.cpp","","","",""
"Add Two Numbers ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Add\%20Two\%20Numbers.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Add\%20Two\%20Numbers.java","python","https://github.com/acgtun/leetcode/tree/master/algorithms/python/Add\%20Two\%20Numbers.py"
"Add Two Numbers II ","","","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Add\%20Two\%20Numbers\%20II.java","",""
"Add and Search Word - Data structure design ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Add\%20and\%20Search\%20Word\%20-\%20Data\%20structure\%20design.cpp","","","",""
"Alien Dictionary ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Alien\%20Dictionary.cpp","","","",""
"Balanced Binary Tree ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Balanced\%20Binary\%20Tree.cpp","","","",""
"Basic Calculator ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Basic\%20Calculator.cpp","","","",""
"Basic Calculator II ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Basic\%20Calculator\%20II.cpp","","","",""
"Battleships in a Board ","","","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Battleships\%20in\%20a\%20Board.java","",""
"Best Meeting Point ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Best\%20Meeting\%20Point.cpp","","","",""
"Best Time to Buy and Sell Stock ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Best\%20Time\%20to\%20Buy\%20and\%20Sell\%20Stock.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Best\%20Time\%20to\%20Buy\%20and\%20Sell\%20Stock.java","",""
"Best Time to Buy and Sell Stock II ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Best\%20Time\%20to\%20Buy\%20and\%20Sell\%20Stock\%20II.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Best\%20Time\%20to\%20Buy\%20and\%20Sell\%20Stock\%20II.java","",""
"Binary Search Tree Iterator ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Binary\%20Search\%20Tree\%20Iterator.cpp","","","",""
"Binary Tree Inorder Traversal ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Binary\%20Tree\%20Inorder\%20Traversal.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Binary\%20Tree\%20Inorder\%20Traversal.java","",""
"Binary Tree Level Order Traversal ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Binary\%20Tree\%20Level\%20Order\%20Traversal.cpp","","","",""
"Binary Tree Level Order Traversal II ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Binary\%20Tree\%20Level\%20Order\%20Traversal\%20II.cpp","","","",""
"Binary Tree Longest Consecutive Sequence ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Binary\%20Tree\%20Longest\%20Consecutive\%20Sequence.cpp","","","",""
"Binary Tree Maximum Path Sum ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Binary\%20Tree\%20Maximum\%20Path\%20Sum.cpp","","","",""
"Binary Tree Paths ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Binary\%20Tree\%20Paths.cpp","","","",""
"Binary Tree Postorder Traversal ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Binary\%20Tree\%20Postorder\%20Traversal.cpp","","","",""
"Binary Tree Preorder Traversal ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Binary\%20Tree\%20Preorder\%20Traversal.cpp","","","",""
"Binary Tree Right Side View ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Binary\%20Tree\%20Right\%20Side\%20View.cpp","","","",""
"Binary Tree Upside Down ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Binary\%20Tree\%20Upside\%20Down.cpp","","","",""
"Binary Tree Upside Down.c","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Binary\%20Tree\%20Upside\%20Down.c","","","",""
"Binary Tree Vertical Order Traversal ","","","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Binary\%20Tree\%20Vertical\%20Order\%20Traversal.java","",""
"Binary Tree Zigzag Level Order Traversal ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Binary\%20Tree\%20Zigzag\%20Level\%20Order\%20Traversal.cpp","","","",""
"Bitwise AND of Numbers Range ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Bitwise\%20AND\%20of\%20Numbers\%20Range.cpp","","","",""
"Boundary of Binary Tree ","","","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Boundary\%20of\%20Binary\%20Tree.java","",""
"Bulb Switcher ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Bulb\%20Switcher.cpp","","","",""
"Bulls and Cows ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Bulls\%20and\%20Cows.cpp","","","",""
"Candy ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Candy.cpp","","","",""
"Climbing Stairs ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Climbing\%20Stairs.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Climbing\%20Stairs.java","",""
"Clone Graph ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Clone\%20Graph.cpp","","","",""
"Closest Binary Search Tree Value ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Closest\%20Binary\%20Search\%20Tree\%20Value.cpp","","","",""
"Closest Binary Search Tree Value II ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Closest\%20Binary\%20Search\%20Tree\%20Value\%20II.cpp","","","",""
"Coin Change ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Coin\%20Change.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Coin\%20Change.java","",""
"Coin Change 2 ","","","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Coin\%20Change\%202.java","",""
"Combination Sum ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Combination\%20Sum.cpp","","","",""
"Combination Sum II ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Combination\%20Sum\%20II.cpp","","","",""
"Combination Sum III ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Combination\%20Sum\%20III.cpp","","","",""
"Combinations ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Combinations.cpp","","","",""
"Compare Version Numbers ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Compare\%20Version\%20Numbers.cpp","","","",""
"Complex Number Multiplication ","","","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Complex\%20Number\%20Multiplication.java","",""
"Construct Binary Tree from Inorder and Postorder Traversal ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Construct\%20Binary\%20Tree\%20from\%20Inorder\%20and\%20Postorder\%20Traversal.cpp","","","",""
"Construct Binary Tree from Preorder and Inorder Traversal ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Construct\%20Binary\%20Tree\%20from\%20Preorder\%20and\%20Inorder\%20Traversal.cpp","","","",""
"Construct Binary Tree from String ","","","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Construct\%20Binary\%20Tree\%20from\%20String.java","",""
"Container With Most Water ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Container\%20With\%20Most\%20Water.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Container\%20With\%20Most\%20Water.java","",""
"Contains Duplicate ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Contains\%20Duplicate.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Contains\%20Duplicate.java","",""
"Contains Duplicate II ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Contains\%20Duplicate\%20II.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Contains\%20Duplicate\%20II.java","",""
"Contains Duplicate III ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Contains\%20Duplicate\%20III.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Contains\%20Duplicate\%20III.java","",""
"Contiguous Array ","","","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Contiguous\%20Array.java","",""
"Convert Sorted Array to Binary Search Tree ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Convert\%20Sorted\%20Array\%20to\%20Binary\%20Search\%20Tree.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Convert\%20Sorted\%20Array\%20to\%20Binary\%20Search\%20Tree.java","",""
"Convert Sorted List to Binary Search Tree ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Convert\%20Sorted\%20List\%20to\%20Binary\%20Search\%20Tree.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Convert\%20Sorted\%20List\%20to\%20Binary\%20Search\%20Tree.java","",""
"Copy List with Random Pointer ","","","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Copy\%20List\%20with\%20Random\%20Pointer.java","",""
"Count Complete Tree Nodes ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Count\%20Complete\%20Tree\%20Nodes.cpp","","","",""
"Count Numbers with Unique Digits ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Count\%20Numbers\%20with\%20Unique\%20Digits.cpp","","","",""
"Count Primes ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Count\%20Primes.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Count\%20Primes.java","",""
"Count Univalue Subtrees ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Count\%20Univalue\%20Subtrees.cpp","","","",""
"Count and Say ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Count\%20and\%20Say.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Count\%20and\%20Say.java","",""
"Count of Smaller Numbers After Self ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Count\%20of\%20Smaller\%20Numbers\%20After\%20Self.cpp","","","",""
"Counting Bits ","","","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Counting\%20Bits.java","",""
"Course Schedule ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Course\%20Schedule.cpp","","","",""
"Course Schedule II ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Course\%20Schedule\%20II.cpp","","","",""
"Decode Ways ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Decode\%20Ways.cpp","","","",""
"Delete Node in a Linked List ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Delete\%20Node\%20in\%20a\%20Linked\%20List.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Delete\%20Node\%20in\%20a\%20Linked\%20List.java","",""
"Design Phone Directory ","","","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Design\%20Phone\%20Directory.java","",""
"Design Tic-Tac-Toe ","","","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Design\%20Tic-Tac-Toe.java","",""
"Distinct Subsequences ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Distinct\%20Subsequences.cpp","","","",""
"Divide Two Integers ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Divide\%20Two\%20Integers.cpp","","","",""
"Edit Distance ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Edit\%20Distance.cpp","","","",""
"Encode and Decode Strings ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Encode\%20and\%20Decode\%20Strings.cpp","","","",""
"Encode and Decode TinyURL ","","","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Encode\%20and\%20Decode\%20TinyURL.java","",""
"Evaluate Reverse Polish Notation ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Evaluate\%20Reverse\%20Polish\%20Notation.cpp","","","",""
